image_id,gt_index,category_id,gt_bbox,matched_pred_num,duplicate_pred_num,status,matched_scores,matched_ious,matched_pred_bboxes
0,0,0,"[643.9999999999999, 472.0, 193.17734400000006, 157.83871999999997]",1,0,normal,[0.9466],[0.9679],"[[644.951171875, 473.3314514160156, 190.27313232421875, 157.96432495117188]]"
0,1,0,"[713.0000640000001, 573.38708, 140.0, 150.6128799999999]",1,0,normal,[0.923],[0.9084],"[[714.2901000976562, 574.99169921875, 128.70208740234375, 149.2125244140625]]"
0,2,0,"[868.6291200000001, 754.03224, 169.37087999999994, 32.258080000000064]",1,0,normal,[0.8039],[0.8786],"[[872.3070068359375, 753.4842529296875, 161.6297607421875, 35.1705322265625]]"
0,3,0,"[849.274048, 680.64516, 179.725952, 88.70967999999993]",1,0,normal,[0.8271],[0.8587],"[[853.702880859375, 688.9967651367188, 171.3466796875, 80.8916015625]]"
0,4,0,"[868.0, 631.0, 164.99993600000016, 118.0]",1,0,normal,[0.9157],[0.8972],"[[864.153564453125, 635.4232788085938, 170.812255859375, 109.32537841796875]]"
0,5,0,"[873.0000640000001, 599.0, 148.99993599999982, 106.64512000000002]",1,0,normal,[0.8454],[0.9137],"[[874.2808837890625, 593.7572631835938, 147.1590576171875, 108.69293212890625]]"
0,6,0,"[867.0161280000001, 458.06452, 69.35487999999987, 156.45159999999998]",1,0,normal,[0.9055],[0.9522],"[[866.572509765625, 454.9796142578125, 71.23199462890625, 159.08880615234375]]"
0,7,0,"[818.629056, 452.41936000000004, 85.37100799999996, 152.41936000000004]",1,0,normal,[0.8827],[0.8583],"[[821.6322021484375, 451.6003723144531, 74.57476806640625, 155.51223754882812]]"
0,8,0,"[962.177408, 539.51616, 120.96767999999997, 157.25808000000006]",1,0,normal,[0.9233],[0.9231],"[[968.6480102539062, 540.3013916015625, 115.56744384765625, 154.70050048828125]]"
0,9,0,"[919.43552, 562.0967599999999, 128.56448, 130.9032800000001]",1,0,normal,[0.8753],[0.915],"[[925.465576171875, 562.48291015625, 127.3067626953125, 130.31817626953125]]"
0,10,0,"[870.2419199999999, 360.48384000000004, 112.90316800000005, 166.93551999999994]",1,0,normal,[0.8474],[0.9588],"[[870.028076171875, 359.2127685546875, 113.03497314453125, 162.9608154296875]]"
0,11,0,"[973.467776, 327.41936000000004, 80.64512000000013, 129.83871999999997]",1,0,normal,[0.8549],[0.868],"[[971.7828369140625, 328.3833923339844, 81.1453857421875, 116.53076171875]]"
0,12,0,"[810.564544, 276.61292, 73.38713600000005, 141.1290400000001]",1,0,normal,[0.9084],[0.9501],"[[811.3734130859375, 277.2012634277344, 74.371337890625, 142.25216674804688]]"
0,13,0,"[930.725824, 495.0, 125.80646400000012, 68.0]",1,0,normal,[0.9244],[0.9614],"[[932.447509765625, 494.3233642578125, 124.356689453125, 69.63385009765625]]"
0,14,0,"[768.0000000000001, 691.0, 115.00006399999995, 102.0]",2,1,duplicate,"[0.5891, 0.3982]","[0.8824, 0.7167]","[[765.680419921875, 692.5582885742188, 107.84954833984375, 100.02288818359375], [766.133544921875, 687.090087890625, 153.0325927734375, 104.6162109375]]"
0,15,0,"[670.9999359999999, 598.0, 228.0000000000001, 195.0]",1,0,normal,[0.7241],[0.7747],"[[706.793701171875, 600.7337646484375, 187.220458984375, 183.96966552734375]]"
0,16,0,"[792.822592, 76.61296, 77.4193919999999, 108.06447999999999]",1,0,normal,[0.8941],[0.9123],"[[791.3323364257812, 73.5779037475586, 79.13800048828125, 106.5492172241211]]"
0,17,0,"[961.3709440000001, 377.41936, 101.62905599999988, 143.58064000000002]",3,2,duplicate,"[0.8108, 0.328, 0.3235]","[0.8994, 0.6127, 0.5824]","[[963.5961303710938, 379.67999267578125, 93.49322509765625, 142.36981201171875], [922.5885009765625, 377.0821533203125, 125.8758544921875, 141.92626953125], [922.52392578125, 380.8205261230469, 124.4168701171875, 135.00735473632812]]"
0,18,0,"[913.9999999999999, 345.00003999999996, 131.00006400000018, 174.3548]",5,4,duplicate,"[0.6439, 0.378, 0.328, 0.3235, 0.3128]","[0.9301, 0.5215, 0.7446, 0.7157, 0.9358]","[[918.662841796875, 347.4156188964844, 126.6453857421875, 168.53012084960938], [919.8048095703125, 346.44775390625, 69.396728515625, 175.32281494140625], [922.5885009765625, 377.0821533203125, 125.8758544921875, 141.92626953125], [922.52392578125, 380.8205261230469, 124.4168701171875, 135.00735473632812], [917.7139282226562, 347.2021484375, 126.35467529296875, 169.1593017578125]]"
0,19,0,"[683.1451519999998, 54.03224, 66.93542400000024, 125.0]",1,0,normal,[0.9193],[0.8846],"[[681.2069702148438, 56.305335998535156, 65.423583984375, 119.82433319091797]]"
0,20,0,"[745.2419199999999, 48.387119999999996, 54.83865600000013, 127.41936000000003]",1,0,normal,[0.8674],[0.8757],"[[741.8234252929688, 50.31071472167969, 55.93963623046875, 123.54963684082031]]"
0,21,0,"[785.564544, 41.129, 139.51616, 88.70968000000002]",1,0,normal,[0.9276],[0.9284],"[[784.0234375, 43.35788345336914, 137.5452880859375, 87.64213562011719]]"
0,22,0,"[920.241984, 67.74192, 86.2903040000001, 112.9032]",1,0,normal,[0.9234],[0.9612],"[[918.49169921875, 67.53555297851562, 88.1573486328125, 114.9783935546875]]"
1,0,0,"[313.887648, 183.000006, 52.112319999999954, 102.99999600000004]",1,0,normal,[0.9216],[0.9391],"[[314.29656982421875, 183.42669677734375, 51.00701904296875, 98.81890869140625]]"
1,1,0,"[311.57491200000004, 260.947152, 102.42291199999994, 42.951527999999996]",1,0,normal,[0.9131],[0.9446],"[[313.96429443359375, 261.26776123046875, 97.524658203125, 42.609130859375]]"
1,2,0,"[349.00003200000003, 190.00000799999998, 44.84358400000002, 92.00001600000007]",1,0,normal,[0.9146],[0.9218],"[[348.9019775390625, 187.38079833984375, 43.6331787109375, 92.57620239257812]]"
1,3,0,"[293.733472, 299.273112, 85.24230400000005, 39.647591999999975]",1,0,normal,[0.8897],[0.8204],"[[291.985107421875, 302.7872314453125, 86.55813598632812, 39.5137939453125]]"
1,4,0,"[305.627712, 283.08369600000003, 88.87667199999999, 45.26431199999996]",1,0,normal,[0.92],[0.9524],"[[306.2967529296875, 283.160888671875, 86.49179077148438, 46.118377685546875]]"
1,5,0,"[292.880736, 327.00000600000004, 108.23161600000003, 32.24998799999992]",1,0,normal,[0.8755],[0.9408],"[[293.1220703125, 325.501220703125, 107.94284057617188, 34.19158935546875]]"
1,6,0,"[391.0, 299.93391, 48.0, 59.31608399999999]",1,0,normal,[0.8554],[0.9494],"[[389.76385498046875, 299.4142150878906, 48.76055908203125, 60.312835693359375]]"
1,7,0,"[454.30617600000005, 272.511, 39.977983999999935, 84.91190399999999]",1,0,normal,[0.9016],[0.952],"[[455.12091064453125, 271.2918701171875, 38.9793701171875, 85.28631591796875]]"
1,8,0,"[427.0, 314.999982, 56.0, 44.07490799999999]",1,0,normal,[0.8344],[0.9644],"[[426.97845458984375, 315.5759582519531, 55.5257568359375, 44.11871337890625]]"
1,9,0,"[293.733472, 126.14536800000002, 77.26649599999996, 66.40970399999998]",1,0,normal,[0.9352],[0.9416],"[[294.06097412109375, 125.98185729980469, 81.03521728515625, 66.44796752929688]]"
1,10,0,"[442.0, 99.383292, 37.74668800000006, 104.61672000000003]",1,0,normal,[0.8845],[0.9094],"[[441.6015625, 100.28805541992188, 35.936737060546875, 102.08981323242188]]"
1,11,0,"[457.279744, 185.61671999999996, 39.977983999999935, 93.17181600000006]",1,0,normal,[0.9241],[0.8954],"[[459.25457763671875, 184.4453887939453, 36.746978759765625, 92.98622131347656]]"
1,12,0,"[461.0, 83.19384, 36.257664000000034, 106.80616799999999]",1,0,normal,[0.8783],[0.9218],"[[462.91815185546875, 82.89969635009766, 33.95220947265625, 105.70804595947266]]"
1,13,0,"[383.93168, 97.000002, 58.06828800000005, 111.99999599999998]",1,0,normal,[0.9331],[0.9699],"[[383.8167724609375, 98.36870574951172, 57.85186767578125, 111.82573699951172]]"
1,14,0,"[406.72911999999997, 84.84577199999998, 50.27091200000001, 99.154224]",1,0,normal,[0.9086],[0.9364],"[[404.81439208984375, 82.96720886230469, 52.09136962890625, 100.23779296875]]"
1,15,0,"[410.69385600000004, 40.903074000000004, 82.59910399999995, 42.290747999999994]",1,0,normal,[0.9387],[0.9647],"[[410.2840576171875, 40.59085464477539, 82.04498291015625, 43.12224197387695]]"
1,16,0,"[163.22691200000003, 29.66958, 33.70041599999999, 89.20706400000002]",1,0,normal,[0.9212],[0.9164],"[[164.42628479003906, 30.113367080688477, 31.153030395507812, 88.43389129638672]]"
1,17,0,"[147.69824, 0.0, 64.309888, 60.066072]",1,0,normal,[0.9369],[0.9317],"[[145.38819885253906, 0.2058863639831543, 65.58485412597656, 60.841705322265625]]"
1,18,0,"[215.09913600000002, 2.5770960000000005, 84.91187199999999, 66.409704]",1,0,normal,[0.9182],[0.9198],"[[214.79591369628906, 3.8431601524353027, 83.47084045410156, 67.91639709472656]]"
1,19,0,"[229.306208, 0.5947019999999997, 81.27750400000005, 15.859043999999999]",1,0,normal,[0.7545],[0.8818],"[[226.5294647216797, 0.11642396450042725, 82.72575378417969, 17.125932693481445]]"
2,0,0,"[250.08064000000002, 19.000000000000007, 99.1936, 142.0]",1,0,normal,[0.9062],[0.9196],"[[251.499755859375, 14.379119873046875, 94.84783935546875, 147.90597534179688]]"
2,1,0,"[156.532288, 52.419360000000005, 141.12908800000002, 74.58063999999999]",1,0,normal,[0.9009],[0.9175],"[[158.9193115234375, 53.625701904296875, 137.62576293945312, 70.1690902709961]]"
2,2,0,"[158.14508800000002, 113.70960000000001, 153.225856, 118.29039999999996]",1,0,normal,[0.9152],[0.9494],"[[157.676025390625, 111.45403289794922, 149.80142211914062, 121.1264419555664]]"
2,3,0,"[162.177408, 149.19352, 147.580672, 129.83872]",1,0,normal,[0.9263],[0.956],"[[163.48892211914062, 149.9818572998047, 144.84024047851562, 131.7418975830078]]"
2,4,0,"[151.693568, 235.48388, 128.22579199999998, 119.35480000000001]",1,0,normal,[0.9431],[0.9587],"[[153.1193389892578, 235.20156860351562, 124.11091613769531, 120.53738403320312]]"
2,5,0,"[163.000064, 279.03228, 101.59667200000001, 153.22584]",1,0,normal,[0.9166],[0.9813],"[[161.79046630859375, 278.23675537109375, 102.89697265625, 153.86373901367188]]"
2,6,0,"[237.17734399999998, 212.09676000000002, 135.48390400000002, 174.19351999999992]",1,0,normal,[0.9237],[0.9586],"[[240.72894287109375, 213.3236846923828, 132.98272705078125, 172.79270935058594]]"
2,7,0,"[553.306432, 30.999999999999993, 104.6936320000001, 173.99999999999997]",1,0,normal,[0.9327],[0.9501],"[[553.3517456054688, 26.432138442993164, 102.12005615234375, 178.39712524414062]]"
2,8,0,"[577.0, 0.0, 189.20972800000004, 66.12896]",1,0,normal,[0.9396],[0.9371],"[[575.4320068359375, 0.5251765251159668, 187.30224609375, 67.67406463623047]]"
2,9,0,"[884.7580800000001, 0.0, 162.90316799999982, 59.0]",1,0,normal,[0.9389],[0.9635],"[[886.8629150390625, 0.40242671966552734, 159.095458984375, 58.204185485839844]]"
2,10,0,"[479.000064, 33.0646, 120.00000000000006, 139.93544000000003]",1,0,normal,[0.9093],[0.9027],"[[481.2899169921875, 28.054630279541016, 112.9315185546875, 146.25738525390625]]"
2,11,0,"[414.5968, 0.0, 162.40320000000003, 63.7096]",1,0,normal,[0.9282],[0.9427],"[[417.4659423828125, 0.5727648735046387, 157.43505859375, 64.39155578613281]]"
2,12,0,"[957.338688, 117.74187999999998, 82.25804799999992, 180.64520000000005]",2,1,duplicate,"[0.9169, 0.3103]","[0.9269, 0.5794]","[[958.8258056640625, 115.26676177978516, 77.373046875, 182.77731323242188], [978.53955078125, 151.3092041015625, 58.910400390625, 146.15597534179688]]"
2,13,0,"[1011.9999359999999, 154.83872, 61.467776000000185, 167.74192000000002]",1,0,normal,[0.9057],[0.9013],"[[1015.6376953125, 156.775146484375, 56.100830078125, 165.65280151367188]]"
2,14,0,"[923.4677120000001, 114.51616000000003, 98.53222399999981, 195.48384]",2,1,duplicate,"[0.9169, 0.8278]","[0.5283, 0.6787]","[[958.8258056640625, 115.26676177978516, 77.373046875, 182.77731323242188], [925.0726318359375, 140.57540893554688, 80.65765380859375, 162.0885009765625]]"
2,15,0,"[314.5968, 595.1612799999999, 158.06451199999998, 82.25808000000006]",1,0,normal,[0.907],[0.9432],"[[317.26177978515625, 596.8538208007812, 155.05209350585938, 79.0941162109375]]"
2,16,0,"[457.33868799999993, 560.0, 89.51616000000001, 235.0]",1,0,normal,[0.8464],[0.9225],"[[456.40008544921875, 562.7604370117188, 94.91607666015625, 234.83526611328125]]"
2,17,0,"[536.9999359999999, 654.8387200000001, 132.43545600000016, 130.16127999999992]",1,0,normal,[0.8908],[0.9312],"[[533.9362182617188, 653.4150390625, 132.8466796875, 133.95111083984375]]"
2,18,0,"[949.27424, 579.0322, 68.72576000000015, 205.64520000000005]",1,0,normal,[0.8764],[0.8506],"[[947.7999877929688, 581.7108154296875, 76.1181640625, 192.5311279296875]]"
2,19,0,"[1000.0807040000001, 756.4516, 58.91929599999992, 41.93552]",1,0,normal,[0.791],[0.6139],"[[982.80810546875, 753.2662353515625, 88.3221435546875, 45.57171630859375]]"
2,20,0,"[1002.4999680000001, 569.35484, 75.00006399999984, 185.64520000000005]",1,0,normal,[0.8846],[0.7852],"[[1001.576416015625, 571.731689453125, 78.3380126953125, 221.17840576171875]]"
2,21,0,"[981.9999999999999, 654.0, 108.00000000000011, 144.9999999999999]",0,0,missed,[],[],[]
3,0,0,"[192.30172799999997, 15.132167999999998, 43.612352000000044, 48.867839999999994]",1,0,normal,[0.8899],[0.8749],"[[192.87371826171875, 15.64865779876709, 41.46630859375, 44.969451904296875]]"
3,1,0,"[177.00000000000003, 102.000006, 57.99999999999997, 60.819372]",1,0,normal,[0.8865],[0.8365],"[[183.66207885742188, 102.3367919921875, 49.532928466796875, 61.56927490234375]]"
3,2,0,"[168.51321600000003, 121.00001400000001, 31.387647999999956, 66.999996]",2,1,duplicate,"[0.5726, 0.3578]","[0.8575, 0.8133]","[[170.08273315429688, 123.5327377319336, 30.465179443359375, 61.624244689941406], [169.0873565673828, 123.32734680175781, 30.885421752929688, 75.76553344726562]]"
3,3,0,"[162.0, 180.99999, 32.00000000000003, 84.99999600000004]",1,0,normal,[0.803],[0.7531],"[[165.90621948242188, 190.50872802734375, 27.540054321289062, 74.38336181640625]]"
3,4,0,"[184.00000000000003, 81.87226199999999, 47.99999999999997, 41.127731999999995]",1,0,normal,[0.5295],[0.718],"[[193.16983032226562, 77.7890853881836, 37.618408203125, 45.929115295410156]]"
3,5,0,"[269.61456000000004, 203.78856600000003, 42.29075199999994, 78.96473999999998]",1,0,normal,[0.9326],[0.9137],"[[271.3514099121094, 203.70645141601562, 39.516571044921875, 77.375]]"
3,6,0,"[273.248864, 293.99999399999996, 65.75110399999994, 61.110108000000025]",1,0,normal,[0.9218],[0.9461],"[[272.159912109375, 292.67169189453125, 67.46902465820312, 61.935089111328125]]"
3,7,0,"[415.98019200000005, 293.986764, 73.34803199999993, 41.62996799999996]",1,0,normal,[0.9401],[0.9807],"[[416.8040466308594, 293.97650146484375, 72.80953979492188, 41.811920166015625]]"
3,8,0,"[410.363456, 229.229082, 77.312768, 38.65640400000001]",1,0,normal,[0.8943],[0.8912],"[[409.9446105957031, 228.87379455566406, 73.03054809570312, 37.54573059082031]]"
3,9,0,"[385.00003200000003, 115.999992, 65.0, 38.889864]",1,0,normal,[0.9037],[0.9099],"[[385.2596740722656, 116.65508270263672, 64.44784545898438, 35.689857482910156]]"
3,10,0,"[428.000032, 162.0, 47.00000000000006, 70.99999199999999]",1,0,normal,[0.7997],[0.864],"[[428.52935791015625, 167.571044921875, 44.53277587890625, 66.22439575195312]]"
3,11,0,"[439.00000000000006, 150.999984, 35.99999999999994, 56.00001599999996]",2,1,duplicate,"[0.412, 0.3213]","[0.5082, 0.6425]","[[427.82037353515625, 165.1763916015625, 45.262054443359375, 36.07099914550781], [432.3077392578125, 143.04554748535156, 42.994384765625, 56.040618896484375]]"
3,12,0,"[436.00003200000003, 105.000012, 30.999999999999943, 64.00000800000001]",1,0,normal,[0.7578],[0.7441],"[[439.44635009765625, 105.93052673339844, 31.63311767578125, 60.2113037109375]]"
3,13,0,"[438.0, 69.00001200000001, 20.0, 42.999984]",0,0,missed,[],[],[]
3,14,0,"[406.0, 75.00000599999998, 25.999999999999943, 51.00001200000001]",1,0,normal,[0.8108],[0.8716],"[[407.5687255859375, 75.5090103149414, 23.248291015625, 51.38043975830078]]"
3,15,0,"[419.0, 32.999994, 34.00000000000006, 38.99998799999999]",3,2,duplicate,"[0.3581, 0.339, 0.3377]","[0.6453, 0.6336, 0.593]","[[422.59942626953125, 31.24981689453125, 31.7227783203125, 53.49198913574219], [424.885498046875, 31.7973575592041, 28.634765625, 52.421783447265625], [422.8298645019531, 32.128475189208984, 25.922698974609375, 31.723140716552734]]"
3,16,0,"[390.0, 28.000007999999998, 30.0, 51.999984]",1,0,normal,[0.7976],[0.8514],"[[388.75665283203125, 26.949447631835938, 29.854949951171875, 50.221595764160156]]"
3,17,0,"[350.561664, 34.000001999999995, 53.43833599999999, 56.999988000000016]",1,0,normal,[0.8945],[0.9718],"[[350.7188720703125, 33.93892288208008, 54.59014892578125, 57.0846061706543]]"
3,18,0,"[426.99999999999994, 73.00000800000001, 22.000000000000057, 54.0]",1,0,normal,[0.3074],[0.6854],"[[421.721923828125, 74.0624008178711, 31.583404541015625, 53.061798095703125]]"
3,19,0,"[401.000032, 20.74887, 37.0, 75.251124]",0,0,missed,[],[],[]
3,20,0,"[367.99996799999997, 25.000002000000002, 37.0, 38.999988]",2,1,duplicate,"[0.4161, 0.4097]","[0.8158, 0.8276]","[[367.65618896484375, 25.310653686523438, 37.15850830078125, 32.22218704223633], [368.53961181640625, 25.373563766479492, 36.453857421875, 32.75889587402344]]"
3,21,0,"[330.0, 24.05286, 24.000000000000057, 44.947152]",1,0,normal,[0.8475],[0.9484],"[[330.314208984375, 24.215351104736328, 23.659912109375, 46.41158676147461]]"
3,22,0,"[249.79072000000002, 34.29513, 56.49779199999995, 55.176227999999995]",1,0,normal,[0.8857],[0.9357],"[[251.14910888671875, 34.26337432861328, 53.953399658203125, 54.124114990234375]]"
4,0,0,"[442.08147199999996, 157.000014, 36.918528000000094, 95.35683600000004]",1,0,normal,[0.3626],[0.9172],"[[441.91827392578125, 151.0604705810547, 37.7027587890625, 100.81436157226562]]"
4,1,0,"[411.35465600000003, 138.700422, 55.64537599999994, 37.299564000000004]",0,0,missed,[],[],[]
4,2,0,"[355.848, 117.22467600000002, 63.152000000000044, 32.77533599999998]",1,0,normal,[0.8413],[0.9359],"[[357.5886535644531, 117.51351165771484, 60.340118408203125, 32.102455139160156]]"
4,3,0,"[239.0, 111.93830999999999, 58.69824, 59.14098000000003]",1,0,normal,[0.8722],[0.8922],"[[240.0299835205078, 113.6464614868164, 58.36381530761719, 54.29169464111328]]"
4,4,0,"[195.93612800000002, 25.044066, 25.440511999999984, 61.12335599999999]",1,0,normal,[0.7463],[0.7047],"[[189.991943359375, 24.820476531982422, 29.256866455078125, 64.66459655761719]]"
4,5,0,"[177.10351999999997, 69.97797, 36.67398400000002, 61.123356]",1,0,normal,[0.7699],[0.8606],"[[177.34695434570312, 72.23289489746094, 34.760772705078125, 62.786651611328125]]"
4,6,0,"[324.129984, 133.00000200000002, 29.735680000000002, 84.00438]",1,0,normal,[0.881],[0.7811],"[[325.0577392578125, 133.95947265625, 27.55450439453125, 70.81025695800781]]"
4,7,0,"[269.284128, 186.27753600000003, 70.37446399999999, 68.39207999999999]",1,0,normal,[0.8788],[0.9401],"[[271.08056640625, 185.74452209472656, 66.9638671875, 68.60121154785156]]"
4,8,0,"[304.306176, 63.039635999999994, 38.32601600000004, 68.06167199999999]",1,0,normal,[0.9047],[0.9178],"[[302.53466796875, 63.156700134277344, 39.912506103515625, 65.56220245361328]]"
4,9,0,"[245.495616, 45.528642000000005, 67.50438399999999, 39.47137199999999]",1,0,normal,[0.8619],[0.7809],"[[245.58880615234375, 45.325931549072266, 66.82882690429688, 31.494007110595703]]"
4,10,0,"[184.70265600000002, 111.93831, 49.229055999999986, 40.30837199999999]",1,0,normal,[0.6317],[0.8466],"[[183.8634033203125, 112.50654602050781, 44.490509033203125, 40.44419860839844]]"
4,11,0,"[165.53961600000002, 133.744482, 30.396479999999997, 79.29514799999998]",1,0,normal,[0.8279],[0.8154],"[[169.421142578125, 133.47035217285156, 25.474777221679688, 77.64376831054688]]"
4,12,0,"[211.795136, 134.405298, 48.89868799999999, 98.12775600000003]",1,0,normal,[0.8598],[0.7714],"[[214.01031494140625, 131.57460021972656, 46.1181640625, 85.26969909667969]]"
4,13,0,"[169.834816, 229.229082, 52.202624000000014, 79.29514799999998]",1,0,normal,[0.8872],[0.9251],"[[167.85279846191406, 230.25990295410156, 52.952728271484375, 78.59794616699219]]"
